account,project,comments  ,empty comments ,patterns,dispersion,type
jpichon,release-depot/git_wrapper,100,21.0,78,0.03887556030135227,Human
bartolkaruza,trevorstephens/gplearn,13,0.0,13,0.0343657019441243,Human
trevorstephens,trevorstephens/gplearn,100,0.0,98,0.0318399654623686,Human
wulfihm,trevorstephens/gplearn,/,/,/,/,/
axic,ethereumjs/ethereumjs-wallet,77,10.0,67,0.037031939551656026,Human
samdark,yiisoft/yii-core,100,0.0,89,0.030022606849323098,Human
zidad,EasyNetQ/EasyNetQ,100,3.0,98,0.03261684004860773,Human
perry-mitchell,buttercup/buttercup-core,100,3.0,96,0.03332220116335735,Human
etix,etix/mirrorbits,100,1.0,99,0.035185557920476715,Human
DevYukine,lavalibs/lavalink.js,20,7.0,14,0.034071447691296074,Human
XhmikosR,gruntjs/grunt-contrib-htmlmin,33,2.0,32,0.03226303073243022,Human
JanOuborny,BenFradet/RiotSharp,100,13.0,84,0.035674936717418795,Human
dimabory,dimabory/ecoji-js,25,4.0,21,0.03682744343957459,Human
vladikoff,gruntjs/grunt-contrib-uglify,68,2.0,65,0.03166643981677949,Human
FagnerMartinsBrack,js-cookie/js-cookie,100,0.0,98,0.029781645512625833,Human
karmi,rs/zerolog,25,0.0,25,0.02994738133955189,Human
rs,rs/zerolog,comments,empty comments,patterns,dispersion,prediction
Webdown404,Webdown404/ssh-manager,33,19.0,14,0.02632422208947446,Human
holgerd77,ethereumjs/ethereumjs-wallet,100,2.0,96,0.03264887514395525,Human
dmarcuse,cogciprocate/ocl,55,0.0,55,0.03111042244966383,Human
c0gent,cogciprocate/ocl,100,3.0,95,0.036886306569960364,Human
xliiv,xliiv/fui,100,81.0,20,0.018363005050293063,Human
adamliter,NYUCCL/psiTurk,27,1.0,27,0.03892440059180096,Human
deargle,NYUCCL/psiTurk,100,5.0,95,0.037549963747238804,Human
bebraw,survivejs/webpack-merge,100,0.0,95,0.03540805114943783,Human
jakirkham,pygridtools/drmaa-python,45,0.0,45,0.030790467167708564,Human
desilinguist,pygridtools/drmaa-python,17,1.0,16,0.045254329826898386,Human
slnode,strongloop/loopback-component-storage,89,0.0,4,0.28881978819915843,Bot
diegoazh,strongloop/loopback-component-storage,19,0.0,18,0.04209704718069312,Human
orhanobut,orhanobut/logger,100,1.0,87,0.03763548807528593,Human
StrahilKazlachev,aurelia/dialog,100,0.0,100,0.028126229157501428,Human
bigopon,aurelia/dialog,38,0.0,38,0.025320105081082695,Human
LordMike,LordMike/TMDbLib,100,5.0,93,0.03310177544484229,Human
jfitisoff,jfitisoff/insite,67,45.0,23,0.016391970904002413,Human
brianhie,brianhie/scanorama,100,1.0,98,0.03234805694814138,Human
yoavaa,wix/angular-tree-control,100,1.0,97,0.039070051285306946,Human
TysonAndre,uniqush/uniqush-push,100,13.0,88,0.03566939282270268,Human
edjubuh,purduesigbots/pros-atom3,26,0.0,25,0.03798533298130435,Human
arcondello,dwavesystems/dwavebinarycsp,57,30.0,27,0.03189016277519061,Human
nikolaiwarner,cabal-club/cabal-cli,30,0.0,30,0.03549110883504306,Human
noffle,cabal-club/cabal-cli,/,/,/,/,/
MurhafSousli,MurhafSousli/ngx-gallery,100,12.0,84,0.03941714347638762,Human
hunterlong,hunterlong/statping,100,2.0,95,0.03125492505359014,Human
mikery,RequestNetwork/requestNetwork,14,0.0,14,0.02609369993254735,Human
romaric-juniet,RequestNetwork/requestNetwork,47,4.0,44,0.035544935331365386,Human
philips77,NordicSemiconductor/IOS-Pods-DFU-Library,100,1.0,97,0.03172637428632678,Human
TorisanKitsune,TorisanKitsune/Wider,43,12.0,31,0.033698714983241236,Human
coreosbot,kubernetes-sigs/bootkube,100,0.0,1,0.0,Bot
rphillips,kubernetes-sigs/bootkube,100,1.0,52,0.06877806168321896,Human
aaronlevy,kubernetes-sigs/bootkube,100,3.0,75,0.03815796066254064,Human
tarmolov,baby-loris/bla,100,10.0,82,0.030058744205281564,Human
lemmy-,baby-loris/bla,/,/,/,/,/
ribice,ribice/gorsk,94,17.0,76,0.03379648688328479,Human
francoispqt,francoispqt/gojay,100,18.0,83,0.03814263783543002,Human
jfcere,jfcere/ngx-markdown,100,4.0,90,0.03794319952599318,Human
mads-hartmann,mads-hartmann/bash-language-server,100,9.0,90,0.03950525647823226,Human
mharista,arista-eosplus/pyeapi,73,5.0,61,0.046858135650435666,Human
deepu105,jhipster/ng-jhipster,82,0.0,79,0.039110354664828956,Human
aldeed,aldeed/simple-schema-js,100,2.0,95,0.039396011967726456,Human
saudet,bytedeco/javacv,100,0.0,98,0.026628302982442387,Human
ARyaskov,machinomy/machinomy,35,23.0,12,0.019532324728575218,Human
tinybike,AugurProject/augur.js,100,21.0,77,0.031115007959991215,Human
VasiliyNovikov,VasiliyNovikov/RedisCore,24,17.0,8,0.016815620838169665,Human
Fonger,aheckmann/mquery,17,0.0,17,0.031134931343052973,Human
vkarpov15,aheckmann/mquery,71,1.0,65,0.03616510920877257,Human
thijstriemstra,collab-project/videojs-record,100,2.0,91,0.03278400817336124,Human
ToniA,ToniA/arduino-heatpumpir,100,0.0,79,0.042798841139122204,Human
segiddins,CocoaPods/Xcodeproj,100,14.0,76,0.03532332252561112,Human
christian-fei,christian-fei/Simple-Jekyll-Search,100,1.0,92,0.03367119833934389,Human
damiani,tightenco/jigsaw,100,0.0,99,0.033925685179001755,Human
chhsiao90,modelmapper/modelmapper,100,4.0,81,0.039374010092483154,Human
randy3k,JuliaInterop/RCall.jl,100,6.0,93,0.0341515232797725,Human
Azuka,Azuka/keycloak-admin-go,20,2.0,19,0.03630593371039784,Human
dchandekstark,samvera/rubydora,55,7.0,46,0.03519941118462963,Human
jeremyf,samvera/rubydora,/,/,/,/,/
jeremeamia,jeremeamia/super_closure,100,2.0,91,0.03403043816996793,Human
Ocramius,jeremeamia/super_closure,33,0.0,33,0.029771325775951357,Human
jgrandja,spring-projects/spring-security-oauth,100,0.0,38,0.049814573584433725,Human
atian25,eggjs/egg-bin,100,0.0,72,0.07132621418542962,Human
sdkottegoda,wso2/ballerina-message-broker,16,0.0,12,0.06827781734445426,Human
carsongee,carsongee/pytest-pylint,100,41.0,53,0.03194542211796846,Human
wsmitchell3,rossengeorgiev/aprs-python,11,0.0,11,0.02111991075272368,Human
AusIV,NoteGio/openrelay,100,29.0,69,0.038891530192736064,Human
sh-waqar,sh-waqar/stylelint-declaration-use-variable,41,4.0,35,0.0491994713600909,Human
leblancfg,leblancfg/autocrop,100,7.0,93,0.032552817637926626,Human
dnalborczyk,standard-things/esm,100,0.0,100,0.027419722778492427,Human
Grinnz,Grinnz/Mojo-SQLite,38,0.0,36,0.03072764078388873,Human
synzen,synzen/Discord.RSS,100,0.0,98,0.030695161410101573,Human
ojkelly,KablamoOSS/kombustion,100,10.0,86,0.039470398614051466,Human
mbloch1986,shinesolutions/puppet-aem-curator,100,4.0,79,0.03953911052797925,Human
grelleum,grelleum/SteelConnection,47,14.0,29,0.031248464279721663,Human
jdalton,standard-things/esm,100,0.0,93,0.031412347661004106,Human
malakaganga,wso2/carbon-business-messaging,46,0.0,28,0.10909067269877021,Human
dg,nette/bootstrap,62,4.0,59,0.0323780373266608,Human
JanTvrdik,nette/bootstrap,25,1.0,25,0.02916349570857782,Human
glguy,jtdaugherty/vty,78,3.0,76,0.035592324250762884,Human
jtdaugherty,jtdaugherty/vty,100,0.0,90,0.039057248304443376,Human
pcarranza,gomeeseeks/meeseeks-box,100,7.0,85,0.04162407466108201,Human
davidtheclark,davidtheclark/react-aria-modal,100,0.0,95,0.035330402419387556,Human
VladimirTechMan,konvajs/konva,31,0.0,31,0.02581940423468406,Human
lavrton,konvajs/konva,100,1.0,99,0.03215585169164085,Human
SamOphis,KyokoBot/kyoko,/,/,/,/,/
ear7h,go-spatial/tegola,100,0.0,98,0.030433025171540902,Human
gdey,go-spatial/tegola,100,2.0,98,0.03285582499561313,Human
phillipj,janl/mustache.js,100,0.0,100,0.030146620754591378,Human
redboltz,msgpack/msgpack-c,100,7.0,90,0.031689212400204836,Human
jfcabral,javalite/activejdbc,98,0.0,96,0.0342214050697029,Human
ipolevoy,javalite/activejdbc,100,11.0,89,0.03768129877614011,Human
koloskof,whitepapertools/whitepaper-bem,36,25.0,8,0.006677216566751811,Human
ruifigueira,togglz/togglz,85,0.0,85,0.025802361367346167,Human
BeneStem,togglz/togglz,21,0.0,20,0.027875528936810293,Human
chkal,togglz/togglz,100,0.0,99,0.03297267312735722,Human
mbraak,mbraak/django-mptt-admin,100,71.0,29,0.014771723194436849,Human
andreynering,go-task/task,100,0.0,97,0.03573022263458385,Human
Onno-Dirkzwager,iotappstory/ESP-Library,100,10.0,91,0.03669420237561067,Human
JesKingDev,magemojo/m2-ce-cron,30,1.0,30,0.03260625231517904,Human
raymondfeng,strongloop/strong-soap,100,0.0,86,0.03176519179366881,Human
Arkni,jquery-validation/jquery-validation,100,0.0,89,0.03957918245057538,Human
tterb,tterb/yt2mp3,47,7.0,32,0.0598680892415777,Human
bnaras,bnaras/cubature,31,4.0,28,0.03090691320420944,Human
alexsavio,PythonSanSebastian/docstamp,19,2.0,17,0.03035235166096951,Human
garygreen,cferdinandi/atomic,15,0.0,15,0.027895275777743304,Human
cferdinandi,cferdinandi/atomic,100,16.0,81,0.03680600980971944,Human
cbusbey,quickfixgo/quickfix,100,8.0,77,0.041269925601718264,Human
frodofine,chopralab/lemon,29,9.0,19,0.036540743938240236,Human
EthanEChristian,cerner/clara-rules,100,0.0,94,0.03722815146167114,Human
mrrodriguez,cerner/clara-rules,100,0.0,99,0.035844770960492746,Human
WilliamParker,cerner/clara-rules,100,5.0,92,0.040617071974936955,Human
santigimeno,node-schedule/node-schedule,100,0.0,88,0.033098429679656025,Human
xdumaine,otalk/getScreenMedia,31,1.0,31,0.040671130119288704,Human
erikeelde,iZettle/android-html2bitmap,34,10.0,25,0.03439561163665298,Human
thinkingserious,sendgrid/sendgrid-php,100,0.0,45,0.061583869822773765,Human
matthiask,matthiask/feincms3,66,9.0,57,0.037114762398959965,Human
marlonbymendes,lappis-unb/salic-ml,/,/,/,/,/
pascalberger,cake-contrib/Cake.Issues.Website,100,0.0,78,0.044158194224654064,Human
alloy,relay-tools/relay-compiler-language-typescript,100,0.0,36,0.27717411448446416,Human
tagliala,FortAwesome/Font-Awesome,100,0.0,64,0.08125790845037101,Human
robmadole,FortAwesome/Font-Awesome,100,3.0,98,0.03313367178666684,Human
michaelplews,papis/papis,87,0.0,82,0.03112108919615571,Human
alejandrogallo,papis/papis,100,0.0,100,0.03386732602113962,Human
jsonmaur,jsonmaur/aws-regions,25,1.0,25,0.03575045541843925,Human
kencheeto,navahq/eslint-config-nava,11,0.0,11,0.031876963200484304,Human
adamchainz,adamchainz/nose-randomly,100,59.0,35,0.018192200411671973,Human
zAfLu,aspnet-contrib/AspNet.Security.OAuth.Providers,17,0.0,16,0.034155920707661776,Human
kevinchalet,aspnet-contrib/AspNet.Security.OAuth.Providers,100,1.0,98,0.03139110418904671,Human
alanhamlett,maxcountryman/flask-login,100,4.0,93,0.031418271993598194,Human
larskanis,ged/ruby-pg,100,1.0,98,0.03329510766309175,Human
tomplus,tomplus/kubernetes_asyncio,100,14.0,84,0.038291881866085814,Human
mhseiden,snowflakedb/gosnowflake,17,0.0,13,0.06999960818109636,Human
smtakeda,snowflakedb/gosnowflake,100,0.0,74,0.07553190808536439,Human
richtier,richtier/voice-command-lifecycle,11,8.0,4,0.018830348435647275,Human
PierreQuentel,brython-dev/brython,100,0.0,95,0.03382400884037401,Human
tysoncadenhead,Aloompa/react-universal-router,11,4.0,8,0.020871462924794415,Human
linyows,pepabo/gmopg,51,8.0,37,0.038157265259237294,Human
aswanipranjal,chaoss/grimoirelab-manuscripts,100,1.0,72,0.05931570741993889,Human
valeriocos,chaoss/grimoirelab-manuscripts,38,2.0,30,0.03994481012601333,Human
ShelbyZ,twilio-labs/twilio-run,31,0.0,29,0.0330539601852638,Human
dkundel,twilio-labs/twilio-run,100,0.0,71,0.08037436766001242,Human
zhi1ong,alibaba/ARouter,100,0.0,94,0.01647243814241972,Human
kamijin-fanta,react-icons/react-icons,100,1.0,88,0.03510805039254186,Human
hassansin,chartmogul/chartmogul-node,15,6.0,10,0.023969388671097165,Human
pkopac,chartmogul/chartmogul-node,28,1.0,25,0.03411202328882663,Human
astefanutti,astefanutti/decktape,100,0.0,93,0.03135353463872571,Human
betatim,jupyterhub/jupyter-server-proxy,89,1.0,89,0.03469034553546587,Human
athornton,jupyterhub/jupyter-server-proxy,12,2.0,11,0.03630827426236114,Human
jmettraux,floraison/et-orbi,81,0.0,80,0.028107110959570372,Human
sebcrozet,rustsim/ncollide,100,2.0,72,0.03690255147952014,Human
Ralith,rustsim/ncollide,28,1.0,28,0.037067271347559,Human
mengxiong10,mengxiong10/vue2-datepicker,100,0.0,95,0.029344957539320628,Human
rocha,edx/edx-oauth2-provider,30,5.0,24,0.0448005206775484,Human
valscion,venuu/jsonapi-authorization,100,0.0,99,0.02899792443469427,Human
dsmjs-bot,dsmjs/commitlint-config-dsmjs,100,0.0,3,0.4621152830799907,Bot
blakeembrey,TypeStrong/ts-node,100,0.0,100,0.025148256430598988,Human
ratson,ratson/cordova-plugin-admob-free,100,0.0,86,0.038007454755201064,Human
TalAmuyal,onivim/oni,100,1.0,99,0.031005764828513516,Human
slevy85,darenju/react-flip-page,46,0.0,43,0.038407365529118845,Human
darenju,darenju/react-flip-page,100,3.0,98,0.03140106760822544,Human
blacktop,maliceio/malice,100,0.0,88,0.03463498798551407,Human
didierfranc,didierfranc/react-waterfall,97,1.0,93,0.034790195196625975,Human
weppos,weppos/publicsuffix-go,100,96.0,5,0.003540012266442342,Human
colinmarc,colinmarc/hdfs,100,1.0,97,0.03527252021159517,Human
kazuyaujihara,cdk/cdk,73,3.0,71,0.029205196100258714,Human
johnmay,cdk/cdk,100,3.0,98,0.03419140116093501,Human
mcollina,fastify/fastify-reply-from,100,3.0,79,0.040270493722977585,Human
peter279k,jenssegers/agent,13,0.0,11,0.04979532275377751,Human
mosen,jssimporter/python-jss,34,2.0,32,0.032632524680359695,Human
jrjohnson,FortAwesome/ember-fontawesome,100,1.0,99,0.032295514026953666,Human
johnharris85,joeabbey/diver,21,2.0,20,0.03713923774164624,Human
thebsdbox,joeabbey/diver,100,5.0,94,0.034317419973269044,Human
michalkowal,michalkowal/Cake.MkDocs,43,12.0,17,0.08134682227735263,Human
mesqueeb,mesqueeb/vuex-easy-access,60,30.0,31,0.028777049578559356,Human
rcannood,dynverse/dynwrap,65,10.0,55,0.03235998843117204,Human
achille-roussel,segmentio/stats,100,0.0,90,0.041173207385989535,Human
joni2back,joni2back/angular-filemanager,100,0.0,93,0.038156579985765327,Human
mantzas,mantzas/patron,100,24.0,64,0.06081663519204867,Human
skaji,xslate/p5-Mouse,34,2.0,33,0.02381749856352394,Human
cabauman,step-up-labs/firebase-database-dotnet,76,2.0,75,0.02985767656759405,Human
bezysoftware,step-up-labs/firebase-database-dotnet,100,0.0,94,0.030049785168966836,Human
rborer,ztellman/aleph,60,0.0,51,0.03475027278349343,Human
JiaLiPassion,angular/zone.js,100,0.0,46,0.09288521196698157,Human
brandonbloom,greglook/puget,25,1.0,25,0.03372342064771503,Human
greglook,greglook/puget,84,0.0,83,0.031001883712933772,Human
ayiemba,ayiemba/MpesaLib,100,83.0,17,0.013622951963582396,Human
uwolfer,itgalaxy/favicons,18,0.0,18,0.03734061070191135,Human
cheton,cncjs/cncjs,100,7.0,84,0.03593566086236682,Human
svc-excavator-bot,palantir/go-java-launcher,100,0.0,1,0.17607102412600553,Bot
lorencarvalho,linkedin/shiv,100,1.0,91,0.0406754421397262,Human
iawia002,iawia002/annie,100,7.0,64,0.038237022914373864,Human
hachi8833,goby-lang/goby,100,6.0,86,0.03403282473131556,Human
SamSaffron,discourse/prometheus_exporter,100,2.0,96,0.0408091486785098,Human
vThaian,divio/aldryn-newsblog,/,/,/,/,/
aheckmann,aheckmann/mquery,56,1.0,54,0.0334694640165633,Human
hsbt,ruby/fileutils,31,1.0,30,0.040572020751703325,Human
gnestor,plotly/jupyterlab-chart-editor,30,6.0,24,0.03719344450333281,Human
nicolaskruchten,plotly/jupyterlab-chart-editor,77,0.0,75,0.031166205769069328,Human
gillesdemey,gillesdemey/node-record-lpcm16,50,1.0,43,0.03864127029122502,Human
CaoZhongZ,intel/ideep,66,0.0,66,0.029452840620184367,Human
Drenn1,jangler/oracles-randomizer,44,3.0,42,0.03633301752687464,Human
jangler,jangler/oracles-randomizer,100,1.0,97,0.03203892525798303,Human
asciimoo,gocolly/colly,100,0.0,96,0.032105939802765444,Human
WasabiFan,ev3dev/ev3dev-lang-python,100,0.0,100,0.03050006271708456,Human
j9ac9k,TimeViewers/signalworks,53,1.0,53,0.028777741138260735,Human
GrahamCampbell,thephpleague/factory-muffin,100,5.0,91,0.03651684756559545,Human
ruslanskorb,ruslanskorb/RSKImageCropper,100,7.0,90,0.037811578930880274,Human
dieu,twitter/scalding,86,2.0,84,0.03263104250840143,Human
johnynek,twitter/scalding,100,0.0,98,0.03181711318913926,Human
asifdxtreme,huaweicse/cse-collector,13,8.0,5,0.04154775186177501,Human
serhatbolsu,serhatbolsu/robotframework-appiumlibrary,100,4.0,94,0.033952315646625146,Human
izeye,spring-projects/spring-restdocs,56,5.0,46,0.05374607861909437,Human
wilkinsona,spring-projects/spring-restdocs,100,22.0,75,0.03925534173851078,Human
dyu,protostuff/protostuff,100,0.0,96,0.026068646075749588,Human
brandur,brandur/sorg,100,1.0,93,0.03762258530930322,Human
beardedeagle,beardedeagle/mnesiac,51,0.0,39,0.059439350905026805,Human
braegelno5,madskristensen/Miniblog.Core,45,0.0,42,0.03693015312735684,Human
tranchitam,AsyncHttpClient/async-http-client,12,0.0,12,0.04123169239528866,Human
slandelle,AsyncHttpClient/async-http-client,100,1.0,90,0.03393332837570381,Human
TheXDS,TheXDS/MCART,43,35.0,8,0.0070556790787893306,Human
ejmr,emacs-php/php-mode,100,0.0,99,0.03214066870217742,Human
zonuexe,emacs-php/php-mode,100,13.0,79,0.03430378610740946,Human
apisit,O3Labs/neo-utils,45,27.0,19,0.020900916690536005,Human
maxekman,looplab/eventhorizon,100,2.0,78,0.07430848310044513,Human
cat-bro,uptick/react-keyed-file-browser,11,2.0,10,0.03819031845322824,Human
adamrauh,markmfredrickson/optmatch,23,0.0,23,0.03438882376826727,Human
markmfredrickson,markmfredrickson/optmatch,71,0.0,71,0.032711404494041946,Human
benthestatistician,markmfredrickson/optmatch,100,1.0,100,0.029322843494876932,Human
ndbroadbent,ndbroadbent/icloud_photos_downloader,100,0.0,99,0.03431097713100842,Human
ychin,macvim-dev/macvim,100,0.0,100,0.03113684166764112,Human
SpaceHexagon,Convolvr/ecs,/,/,/,/,/
Einenlum,felipe-augusto/linguee,16,0.0,16,0.032789982352068855,Human
antonmedv,antonmedv/expr,100,0.0,99,0.02910966249116096,Human
kshcherban,kshcherban/acme-nginx,77,0.0,75,0.028966188997190345,Human
jodosha,hanami/hanami,100,8.0,89,0.03638825180570221,Human
ajafff,ajafff/tslint-consistent-codestyle,100,2.0,98,0.03320945355113605,Human
kevin-greene-ck,creditkarma/thrift-typescript,100,22.0,72,0.04019370199958161,Human
no-man-is-an-island,deckchair-technicians/vicets,13,1.0,13,0.02457947891861405,Human
kaatzee,etorreborre/specs2,11,0.0,11,0.03946985414477701,Human
etorreborre,etorreborre/specs2,100,0.0,95,0.033641826858804964,Human
ParallelTask,ParallelTask/dinoloop,41,26.0,16,0.021311451457098386,Human
Breakthrough,Breakthrough/PySceneDetect,100,0.0,98,0.031095122707138198,Human
demurgos,demurgos/turbo-gulp,100,26.0,69,0.03717089325226226,Human
losfair,perlin-network/life,45,5.0,39,0.03565808769868259,Human
thomaspark,thomaspark/bootswatch,100,0.0,94,0.031580029266307444,Human
ash2k,atlassian/bazel-tools,100,10.0,83,0.03933510639285755,Human
williamboman,Galooshi/import-js,11,0.0,11,0.030431741874418102,Human
fabienvauchelles,fabienvauchelles/scrapoxy,100,2.0,93,0.042432594070719976,Human
itamaro,resonai/ybt,100,14.0,80,0.03991814861263214,Human
tsimbalar,serilog/serilog,100,0.0,98,0.029237107974636002,Human
jirenius,jirenius/go-res,100,17.0,51,0.08806890070566069,Human
Jacse,Jacse/react-native-app-intro-slider,100,0.0,89,0.03619045771066804,Human
Yomguithereal,jacomyal/sigma.js,100,4.0,97,0.033377223216051334,Human
Civil,go-graphite/carbonapi,100,3.0,97,0.033136370119307576,Human
mtesseract,mtesseract/nakadi-client,100,3.0,95,0.03345510133454832,Human
PascalSchumacher,j-easy/easy-random,100,9.0,92,0.03453041760810614,Human
nickw444,nickw444/miio-go,19,8.0,12,0.028631053286522618,Human
anthrotype,linkedin/shiv,32,0.0,32,0.03018984514238867,Human
vadeg,DozerMapper/dozer,29,0.0,28,0.03764931279174826,Human
motin,mozilla/shield-studies-addon-utils,100,0.0,90,0.03582335318053801,Human
amit-sharma,microsoft/dowhy,100,9.0,92,0.03885900124044317,Human
spersson,Stebalien/stash-rs,16,0.0,16,0.028949777570356036,Human
Stebalien,Stebalien/stash-rs,32,0.0,31,0.036355149539820344,Human
mdh67899,open-falcon/falcon-plus,47,3.0,45,0.02030773833690276,Human
nl5887,honeytrap/honeytrap,100,15.0,78,0.0297060260798606,Human
ShMcK,rematch/rematch,100,0.0,96,0.028943606535474082,Human
xmudrii,kubicorn/kubicorn,100,4.0,92,0.04305351851784491,Human
Ynhockey,gigya/Magento-2,96,35.0,60,0.0292791314992005,Human
ofernandezcr92,stevevega/kima,34,26.0,8,0.010377049186768371,Human
jricher,mitreid-connect/OpenID-Connect-Java-Spring-Server,100,0.0,99,0.027049833685474634,Human
sander3,sander3/laravel-gdpr,43,12.0,31,0.035603999552867034,Human
efatsi,vigetlabs/olive_branch,48,0.0,48,0.0326619560156988,Human
doom369,shred/acme4j,16,1.0,16,0.030249801059588178,Human
shred,shred/acme4j,100,0.0,98,0.03266441554862001,Human
nschloe,nschloe/optimesh,100,42.0,55,0.026170918799856557,Human
formiaczek,frerich/clcache,11,0.0,11,0.037093284460320404,Human
siu,frerich/clcache,100,0.0,100,0.034850458900292126,Human
guanqun,paritytech/wasmi,12,1.0,11,0.03208474596826392,Human
sunng87,sunng87/slacker-cluster,42,5.0,36,0.040356765564888715,Human
yuripourre,Harium/etyl-ui,18,6.0,13,0.03246861409428968,Human
Suremaker,LightBDD/LightBDD,100,1.0,75,0.05955687673659661,Human
webberig,zimmo-be/twig-loader,77,1.0,76,0.03025820778635583,Human
rpearce,rpearce/react-medium-image-zoom,100,1.0,95,0.03403951415829968,Human
ngot,eggjs/egg-socket.io,90,23.0,47,0.05402777973527309,Human
Grsmto,Grsmto/simplebar,100,0.0,93,0.0347074900290145,Human
InquisitivePenguin,tendermint/rust-abci,15,0.0,15,0.03410368299621385,Human
davebryson,tendermint/rust-abci,26,0.0,26,0.030939919323961215,Human
zramsay,tendermint/rust-abci,29,6.0,24,0.034213659914081616,Human
Liamsi,tendermint/rust-abci,/,/,/,/,/
adrianbrink,tendermint/rust-abci,13,5.0,9,0.025341173945996998,Human
melekes,tendermint/rust-abci,22,7.0,16,0.03166539370737841,Human
ukstv,machinomy/machinomy,100,36.0,56,0.03322982624416091,Human
mariusvniekerk,regro/libcflib,16,4.0,13,0.0387518110883103,Human
ikalchev,ikalchev/HAP-python,100,28.0,72,0.036955322579359975,Human
vrom911,kowainik/tomland,100,20.0,52,0.07421803584696,Human
vcaesar,go-vgo/robotgo,100,0.0,47,0.09939440609234809,Human
herpaderpaldent,herpaderpaldent/seat-notifications,82,19.0,40,0.11495493843233433,Human
nol13,nol13/fuzzball.js,33,1.0,33,0.036058897197723705,Human
rabbah,apache/openwhisk-cli,100,2.0,93,0.033667230157388026,Human
dlew,trello/RxLifecycle,100,12.0,88,0.03846277388224479,Human
bartlangelaan,headless-ninja/javascript,21,2.0,19,0.03411776836653073,Human
hn-bot,headless-ninja/javascript,70,0.0,2,0.3476337690450496,Bot
seregazhuk,seregazhuk/php-pinterest-bot,100,7.0,85,0.03654783866304336,Human
oxinabox,JuliaCollections/DataStructures.jl,100,0.0,97,0.033421061714723546,Human
bdunks,thecynic/pylutron,11,0.0,11,0.032471066668003895,Human
JonGilmore,thecynic/pylutron,57,1.0,56,0.03458347317943257,Human
thecynic,thecynic/pylutron,92,0.0,92,0.033025473755605425,Human
Varorbc,Varorbc/PaySharp,79,15.0,65,0.009365471276838289,Human
Andryu,Andryu/simple_mysql_partitioning,14,8.0,7,0.024407146764924205,Human
fleaz,fleaz/CptHook,87,5.0,77,0.0370605511277843,Human
0x1daniel,zold-io/zold,100,3.0,92,0.03985134097679221,Human
schachmett,lmfit/lmfit-py,13,0.0,13,0.027423724648872386,Human
reneeotten,lmfit/lmfit-py,100,0.0,90,0.03850081059614172,Human
davarravad,UserApplePie/UserApplePie-v4,100,15.0,83,0.03994641036503517,Human
massimocode,aaronabramov/node-sql-migrations,13,0.0,9,0.04882528965950677,Human
jorgenhenrichsen,jorgenhenrichsen/SwiftAudio,98,12.0,86,0.03678305054161909,Human
Johns-CI-Bot,JohnSundell/ImagineEngine,41,0.0,1,0.19906803165457826,Bot
giampaolo,giampaolo/pysendfile,71,1.0,49,0.08284901159313154,Human
j-rewerts,github-tools/github,100,0.0,96,0.031064946561964672,Human
zharpaz,phax/as2-lib,32,0.0,31,0.042196191229301655,Human
mpostol,mpostol/OPC-UA-OOI,100,1.0,85,0.03568515470718982,Human
Zil0,matrix-org/matrix-python-sdk,97,1.0,88,0.043424611452603575,Human
non-Jedi,matrix-org/matrix-python-sdk,100,3.0,89,0.03703665018938639,Human
rpkilby,philipn/django-rest-framework-filters,100,3.0,97,0.030543391223118856,Human
smortex,voxpupuli/puppet-fail2ban,21,0.0,17,0.042524895309445365,Human
bastelfreak,voxpupuli/puppet-fail2ban,100,3.0,61,0.06327765182656568,Human
KiChjang,servo/html5ever,24,2.0,18,0.05262378575239876,Human
bors-servo,servo/html5ever,100,0.0,7,0.13702176837092642,Bot
kevinsteves,PaloAltoNetworks/pancloud,31,15.0,17,0.02398854219369202,Human
francoischalifour,francoischalifour/medium-zoom,100,13.0,83,0.03838689711651628,Human
pravic,g-k/cargo-show,14,0.0,14,0.03165069618250584,Human
sloria,sloria/sphinx-issues,27,3.0,22,0.03782974462837954,Human
termoshtt,rust-accel/accel,100,14.0,83,0.0319888000804077,Human
fortytw2,fortytw2/hydrocarbon,100,3.0,96,0.031038349717229727,Human
geek,hapijs/lab,100,6.0,87,0.040140955412103455,Human
Marsup,hapijs/lab,100,0.0,100,0.024071008580324137,Human
joshiste,codecentric/spring-boot-admin,100,0.0,93,0.027824566385462143,Human
markusenglund,balloob/react-sidebar,64,6.0,59,0.04189168479524284,Human
halverneus,halverneus/static-file-server,100,24.0,75,0.04081434974667378,Human
elharo,elharo/xom,100,49.0,45,0.029559666677158928,Human
scls19fr,JuliaCollections/DataStructures.jl,100,2.0,94,0.031293756119956564,Human
jbgi,functionaljava/functionaljava,100,11.0,88,0.03367358279769968,Human
LucasBadico,awslabs/dynamodb-data-mapper-js,43,0.0,43,0.03196960199482388,Human
jeskew,awslabs/dynamodb-data-mapper-js,100,0.0,95,0.03232399294589375,Human
hdorgeval,inikulin/publish-please,100,2.0,78,0.048996548053356646,Human
alexandernanberg,kentcdodds/kcd-scripts,14,0.0,9,0.14998376883774805,Bot
Carreau,jupyter/jupyter_core,54,3.0,50,0.03802910107453114,Human
cowtowncoder,FasterXML/jackson-dataformats-text,100,0.0,99,0.03115316356114971,Human
gen0cide,gen0cide/gscript,36,28.0,9,0.007685288810173731,Human
plutov,plutov/practice-go,81,2.0,72,0.03206673671065921,Human
