Compte,lev,Type
alexbers,28.0,Human
carloscuesta,55.5,Human
bryanl,56.0,Human
jtsage,33.0,Human
floatdrop,32.0,Human
magro,33.5,Human
NathanSweet,39.0,Human
kristw,29.0,Human
donmccurdy,66.5,Human
matteosister,34.0,Human
lipangit,0.0,Human
ryanwinchester,31.0,Human
sudodoki,70.0,Human
rovansteen,58.0,Human
pbrant,60.0,Human
nicolargo,25.0,Human
svenkubiak,51.0,Human
mxcl,31.5,Human
jomonkj,53.5,Human
hiqsol,66.5,Human
Toflar,31.5,Human
leofeyer,26.0,Human
stevehu,39.5,Human
scottrobertson,31.0,Human
bryphe,30.0,Human
trevnorris,33.0,Human
ForbesLindesay,31.0,Human
milo,26.0,Human
k0nserv,68.5,Human
NicolasRannou,32.0,Human
bsweeney,26.0,Human
loganfsmyth,32.5,Human
weavejester,31.0,Human
SheetJSDev,32.5,Human
aycabta,59.0,Human
legal90,33.0,Human
MahdiZareie,51.0,Human
DavoudTaghawiNejad,62.5,Human
KennethanCeyer,34.0,Human
mikiobraun,35.5,Human
tmcw,62.5,Human
samhed,17.0,Human
isaacs,56.0,Human
kevinoliver,67.5,Human
rasheedamir,52.0,Human
slashdotdash,37.0,Human
jstedfast,31.0,Human
emekalites,52.5,Human
paulfalgout,35.0,Human
kris-nova,16.0,Human
m-weigand,67.5,Human
jhoblitt,66.0,Human
trusktr,34.5,Human
treshugart,28.0,Human
damsfx,61.5,Human
stevie-mayhew,66.0,Human
interactivellama,28.0,Human
alexflav23,51.5,Human
vojtechhabarta,41.0,Human
rkh,61.5,Human
timbod7,62.0,Human
LeeSmet,64.0,Human
Scotchester,50.5,Human
sonnyp,64.0,Human
dfahlander,24.5,Human
michielpost,42.0,Human
seanmcleod,38.0,Human
NeilFraser,63.5,Human
bsipocz,34.0,Human
or-else,29.5,Human
Valve,50.0,Human
sharkdp,66.0,Human
plentz,32.0,Human
jlaine,35.0,Human
davemorrissey,31.0,Human
julien-moreau,34.0,Human
ricmoo,32.0,Human
sibirrer,36.5,Human
dbernstein,39.5,Human
wojcikstefan,62.0,Human
jhunt,36.0,Human
satoshun00,64.0,Human
drewnoakes,29.0,Human
tsherif,36.0,Human
dmalan,65.0,Human
attilaolah,27.0,Human
leeping,34.5,Human
undera,29.0,Human
SergeyZhukovsky,100.0,Human
bbondy,25.0,Human
Gp2mv3,68.0,Human
lmcinnes,35.0,Human
andreasschroth,64.5,Human
mreiferson,30.5,Human
maoueh,37.0,Human
mattlewis92,35.0,Human
technicalpickles,32.0,Human
jbduncan,29.0,Human
zinid,27.0,Human
matthiasblaesing,29.0,Human
msoos,26.0,Human
LosD,29.0,Human
fredvd,63.5,Human
rrrene,31.5,Human
vtsykun,29.0,Human
selwin,36.0,Human
zzak,58.0,Human
markstory,59.5,Human
ChrisHines,25.0,Human
iangilman,28.0,Human
ask,31.0,Human
daisukenishino,32.0,Human
ALRubinger,65.5,Human
dmitrykurmanov,58.0,Human
lcobucci,24.0,Human
vsch,34.0,Human
patrickkettner,27.0,Human
jwngr,35.0,Human
ajayojha,33.0,Human
pluma,39.0,Human
DavideD,36.0,Human
zbjornson,37.0,Human
zvonicek,30.0,Human
brocaar,23.0,Human
sanex3339,34.0,Human
andig,41.0,Human
gdkrmr,40.0,Human
legastero,28.0,Human
spaam,25.0,Human
blueimp,32.5,Human
rogers492,36.0,Human
jnunemaker,23.0,Human
jlukic,31.0,Human
benjamn,34.0,Human
tobami,29.0,Human
azat,27.5,Human
austinpray,22.0,Human
peterolson,36.0,Human
bp74,32.0,Human
EECOLOR,35.5,Human
jonbullock,63.0,Human
rigor789,33.0,Human
zimbatm,25.0,Human
mellinoe,34.5,Human
QWp6t,61.5,Human
ericdill,32.0,Human
yoiang,41.0,Human
ancho,35.0,Human
christianalfoni,30.0,Human
theganyo,38.0,Human
grzuy,64.5,Human
