Compte,empty,Type
mafintosh,0.0,Human
ianstormtaylor,37.5,Human
0xjac,34.61538461538461,Human
gutschilla,25.0,Human
okartau,0.0,Human
erikbarke,76.0,Human
Tanc009,94.94949494949495,Human
stof,18.181818181818183,Human
lyrixx,30.76923076923077,Human
taflanidi,87.5,Human
gastonprieto,71.42857142857143,Human
artem-fedorov,97.5609756097561,Human
shi-yuan,99.2,Human
lekkas,8.695652173913043,Human
ChadKillingsworth,11.11111111111111,Human
Battenburg,12.727272727272727,Human
djmitche,23.076923076923077,Human
petemoore,0.0,Human
rynam0,0.0,Human
balintk,0.0,Human
odrotbohm,40.0,Human
CrossR,0.0,Human
metaodi,65.15151515151516,Human
iloveitaly,0.0,Human
jzaleski,0.0,Human
micvbang,18.181818181818183,Human
markus-wa,32.98969072164948,Human
erwinvaneyk,11.38211382113821,Human
gmoura,51.42857142857142,Human
zachmoody,31.88405797101449,Human
Nyholm,42.857142857142854,Human
mkorszun,3.0303030303030303,Human
nemesisdesign,16.666666666666664,Human
rohithasrk,27.77777777777778,Human
GuillaumeJasmin,0.0,Human
jamesplease,28.71287128712871,Human
dpb587-pivotal,0.0,Human
CendioOssman,3.389830508474576,Human
DirectXMan12,0.0,Human
SebastienElet,46.666666666666664,Human
hippiehunter,0.0,Human
aom,0.0,Human
divyenduz,40.0,Human
timsuchanek,100.0,Human
apfelbox,37.03703703703704,Human
keichinger,0.0,Human
dannyjacobs,0.0,Human
phogel,52.94117647058824,Human
nc6,23.25581395348837,Human
wadackel,58.333333333333336,Human
TylerCarlson1,50.0,Human
jbogard,50.0,Human
radu-matei,70.58823529411765,Human
Niko-r,98.57142857142858,Human
danschalow,45.45454545454545,Human
ripienaar,46.37223974763407,Human
justuseapen,90.625,Human
danwalmsley,84.28571428571429,Human
feross,29.166666666666668,Human
messense,29.310344827586203,Human
LKI,13.636363636363635,Human
Samuell1,6.8493150684931505,Human
jaibatrik,85.71428571428571,Human
mdantonio,91.66666666666666,Human
mteodori,93.33333333333333,Human
bhauman,50.0,Human
riccardonar,50.0,Human
kasparsd,27.77777777777778,Human
izmmisha,0.0,Human
frerich,16.94915254237288,Human
floehopper,0.0,Human
roblopez,100.0,Human
preaction,33.33333333333333,Human
autarch,0.0,Human
vmchukky,0.0,Human
chelm,0.0,Human
BenoitZugmeyer,40.0,Human
ttacon,33.33333333333333,Human
j-f1,14.285714285714285,Human
JayVora-SerpentCS,66.66666666666666,Human
tiliev,13.636363636363635,Human
GuilhemN,40.28776978417266,Human
dr-dimitru,26.190476190476193,Human
beanieboi,66.12903225806451,Human
gregsdennis,30.973451327433626,Human
phamtuan2993,33.33333333333333,Human
garraspin,0.0,Human
davesmith00000,25.0,Human
avasquez614,40.0,Human
wolfy-j,68.29268292682927,Human
poy,34.78260869565217,Human
jjd314,0.0,Human
vberger,43.373493975903614,Human
boopathi,37.68844221105528,Human
cekk,71.42857142857143,Human
daffidwilde,65.0,Human
lafita,2.564102564102564,Human
Jason3S,73.22175732217573,Human
Mahsaap,34.48275862068966,Human
janeeisenstein,20.0,Human
Sacharified,0.0,Human
jhkennedy,11.11111111111111,Human
insomniacslk,4.0,Human
ericsoderberghp,28.57142857142857,Human
vasili-v,65.0,Human
sudip-aubergine,71.9298245614035,Human
tonivade,76.08695652173914,Human
cpcloud,0.0,Human
wesm,30.0,Human
dbatiste,79.41176470588235,Human
Hironsan,18.181818181818183,Human
alixdamman,57.5187969924812,Human
chinedufn,15.625,Human
alisonjoseph,54.54545454545454,Human
seejamescode,0.0,Human
StevenMaude,50.0,Human
kb2623,0.0,Human
dominikholler,16.666666666666664,Human
guewen,7.0588235294117645,Human
sbidoul,40.0,Human
lmignon,0.0,Human
stalniy,43.75,Human
supercodepoet,96.15384615384616,Human
leleuj,66.66666666666666,Human
juanlopez1,100.0,Human
basvanbeek,5.405405405405405,Human
