Compte,lev,Type
nschonni,60.5,Human
prmiles,39.5,Human
edre,58.0,Human
JRaspass,25.0,Human
chipbell4,66.5,Human
monsieurtanuki,39.0,Human
spyhunter99,28.0,Human
dmwit,34.0,Human
SmileyChris,56.0,Human
brian-brazil,75.0,Human
schmave,31.0,Human
anselmbradford,34.0,Human
contolini,30.0,Human
otaviojava,9.0,Human
commenthol,27.0,Human
oleksandr-pavlyk,33.0,Human
filipw,31.5,Human
khellang,33.0,Human
hynek,31.0,Human
alexis-via,36.5,Human
soumak77,27.0,Human
briantq,67.0,Human
willprice,19.5,Human
jonataswalker,31.0,Human
waylan,27.5,Human
lanzagar,35.0,Human
Amaimersion,27.0,Human
Hyuchia,34.0,Human
SBoudrias,36.0,Human
bobdenotter,23.0,Human
iwillspeak,32.0,Human
tansengming,33.0,Human
maffeyl,34.0,Human
reckart,51.0,Human
MscrmTools,26.0,Human
sonaye,22.5,Human
nfriedly,30.0,Human
marionebl,27.0,Human
jameswnl,36.0,Human
akhila-raju,68.0,Human
Syndace,21.0,Human
joker234,36.5,Human
dpvc,35.0,Human
zorkow,33.0,Human
kvark,33.5,Human
rgritti,100.0,Human
grahammendick,38.0,Human
jamescryer,35.0,Human
paragonie-scott,38.0,Human
zonyitoo,69.0,Human
sevenTiny,5.0,Human
bdwain,33.5,Human
PLNech,26.0,Human
djzager,35.5,Human
casperisfine,38.0,Human
muan,68.0,Human
jpichon,33.0,Human
bartolkaruza,70.0,Human
trevorstephens,27.0,Human
axic,28.0,Human
samdark,26.0,Human
perry-mitchell,31.0,Human
etix,35.0,Human
JanOuborny,29.0,Human
dimabory,23.0,Human
FagnerMartinsBrack,30.0,Human
Webdown404,100.0,Human
holgerd77,17.0,Human
dmarcuse,37.0,Human
c0gent,30.0,Human
adamliter,30.0,Human
deargle,30.0,Human
bebraw,29.0,Human
jakirkham,30.0,Human
diegoazh,55.5,Human
orhanobut,27.0,Human
StrahilKazlachev,47.0,Human
LordMike,28.0,Human
jfitisoff,24.0,Human
TysonAndre,29.0,Human
arcondello,27.5,Human
nikolaiwarner,42.0,Human
MurhafSousli,8.5,Human
hunterlong,33.0,Human
mikery,33.0,Human
philips77,34.5,Human
TorisanKitsune,67.0,Human
rphillips,32.5,Human
aaronlevy,32.0,Human
tarmolov,8.0,Human
ribice,22.0,Human
mads-hartmann,29.0,Human
mharista,50.0,Human
aldeed,26.0,Human
ARyaskov,68.0,Human
tinybike,19.0,Human
Fonger,61.5,Human
vkarpov15,39.0,Human
thijstriemstra,28.0,Human
segiddins,100.0,Human
christian-fei,100.0,Human
damiani,40.0,Human
chhsiao90,21.0,Human
randy3k,26.0,Human
dchandekstark,25.5,Human
jeremeamia,30.0,Human
jgrandja,17.0,Human
carsongee,65.0,Human
AusIV,35.0,Human
leblancfg,24.0,Human
dnalborczyk,32.0,Human
Grinnz,32.0,Human
synzen,22.0,Human
ojkelly,32.0,Human
mbloch1986,33.0,Human
jdalton,32.0,Human
malakaganga,39.0,Human
glguy,34.0,Human
jtdaugherty,33.0,Human
pcarranza,24.0,Human
davidtheclark,27.0,Human
lavrton,26.0,Human
ear7h,28.0,Human
gdey,32.0,Human
phillipj,33.0,Human
redboltz,27.0,Human
jfcabral,32.0,Human
ipolevoy,12.0,Human
chkal,33.0,Human
mbraak,13.0,Human
andreynering,26.0,Human
JesKingDev,35.0,Human
Arkni,32.0,Human
tterb,35.0,Human
alexsavio,25.5,Human
garygreen,36.0,Human
cferdinandi,28.0,Human
cbusbey,24.0,Human
frodofine,27.0,Human
EthanEChristian,35.0,Human
mrrodriguez,35.0,Human
WilliamParker,34.0,Human
santigimeno,33.0,Human
xdumaine,71.0,Human
pascalberger,35.0,Human
alloy,28.0,Human
tagliala,23.0,Human
robmadole,38.0,Human
michaelplews,31.0,Human
alejandrogallo,31.0,Human
adamchainz,67.5,Human
zAfLu,35.0,Human
kevinchalet,24.0,Human
larskanis,30.0,Human
tomplus,30.0,Human
smtakeda,44.0,Human
PierreQuentel,30.0,Human
tysoncadenhead,22.0,Human
aswanipranjal,37.0,Human
ShelbyZ,33.0,Human
dkundel,31.0,Human
astefanutti,26.0,Human
betatim,33.5,Human
jmettraux,21.0,Human
sebcrozet,34.0,Human
Ralith,40.0,Human
valscion,33.0,Human
blakeembrey,32.0,Human
ratson,39.0,Human
TalAmuyal,31.0,Human
slevy85,35.0,Human
