Compte,empty,Type
shomron,6.25,Human
hdevalence,0.0,Human
jimmynotjim,0.0,Human
williamjamir,0.0,Human
max3903,0.0,Human
gmyenni,15.151515151515152,Human
felixfiskare,0.0,Human
LJaraCastillo,0.0,Human
kaczmarj,18.181818181818183,Human
estambakio-sc,0.0,Human
dustinmm80,0.0,Human
sgnn7,0.0,Human
tsloughter,0.0,Human
andmos,16.666666666666664,Human
SolomoN-ua,0.0,Human
dchabot,0.0,Human
newville,4.545454545454546,Human
hhslepicka,0.0,Human
Rich-Harris,0.0,Human
wbhob,0.0,Human
FezVrasta,0.0,Human
xz64,0.0,Human
kawych,80.0,Human
cwtuan,0.0,Human
pepyakin,16.129032258064516,Human
dazuma,0.0,Human
sschmidTU,0.0,Human
0xfe,4.081632653061225,Human
afc163,0.0,Human
jonahgraham,0.0,Human
eikenb,0.0,Human
RobinBuschmann,17.647058823529413,Human
brianegan,0.0,Human
ababic,0.0,Human
kood1,0.0,Human
Ghnuberath,36.84210526315789,Human
fm-tibco,0.0,Human
cblomart,0.0,Human
martinRenou,0.0,Human
kristfal,0.0,Human
rejas,0.0,Human
mjpt777,0.0,Human
roman01la,0.0,Human
faizanahmad055,0.0,Human
thiagobustamante,0.0,Human
chuckdumont,0.0,Human
g105b,0.0,Human
sammynx,33.33333333333333,Human
jalvz,22.58064516129032,Human
gruberrolandvaltech,4.761904761904762,Human
Naktibalda,0.0,Human
MaikuB,11.11111111111111,Human
dasiths,0.0,Human
saniales,30.0,Human
bitbager,66.66666666666666,Human
nical,0.0,Human
vanniktech,0.0,Human
GreLI,0.0,Human
dkukharau,25.0,Human
bjodah,10.0,Human
krasoffski,0.0,Human
andresgnlez,0.0,Human
phaazon,40.116279069767444,Human
nathanbowser,10.0,Human
mattsgarlata,3.0303030303030303,Human
missinglink,0.0,Human
vmx,0.0,Human
achingbrain,0.0,Human
bakoe,22.22222222222222,Human
davegurnell,0.0,Human
pvillega,0.0,Human
eduardoboucas,0.0,Human
unlucio,0.0,Human
AaronHForgeFlow,0.0,Human
bsnacks000,0.0,Human
bojeil-google,0.0,Human
ngoldbaum,0.0,Human
vperron,16.666666666666664,Human
johnwmillr,0.0,Human
javagl,0.0,Human
Robdel12,0.0,Human
andrew-boyarshin,0.0,Human
mungojam,12.82051282051282,Human
hvanbakel,14.285714285714285,Human
jdef,9.615384615384617,Human
johannwagner,0.0,Human
felixrindt,25.0,Human
ssm,0.0,Human
ralphtheninja,0.0,Human
ianstormtaylor,39.56043956043956,Human
0xjac,27.27272727272727,Human
gutschilla,0.0,Human
okartau,0.0,Human
erikbarke,0.0,Human
lyrixx,0.0,Human
taflanidi,16.666666666666664,Human
lekkas,7.6923076923076925,Human
ChadKillingsworth,0.0,Human
jarun,0.0,Human
Battenburg,0.0,Human
djmitche,4.166666666666666,Human
petemoore,0.0,Human
rynam0,0.0,Human
balintk,6.25,Human
odrotbohm,85.18518518518519,Human
CrossR,0.0,Human
metaodi,38.63636363636363,Human
micvbang,0.0,Human
markus-wa,4.545454545454546,Human
erwinvaneyk,5.263157894736842,Human
gmoura,37.5,Human
zachmoody,14.285714285714285,Human
Nyholm,0.0,Human
mkorszun,19.047619047619047,Human
nemesisdesign,0.0,Human
rohithasrk,30.0,Human
GuillaumeJasmin,0.0,Human
jamesplease,10.204081632653061,Human
CendioOssman,0.0,Human
DirectXMan12,0.0,Human
SebastienElet,0.0,Human
foxriver76,0.0,Human
hippiehunter,0.0,Human
akyoto,1.36986301369863,Human
divyenduz,0.0,Human
timsuchanek,0.0,Human
keichinger,0.0,Human
dannyjacobs,9.67741935483871,Human
nc6,100.0,Human
wadackel,0.0,Human
riceric22,0.0,Human
radu-matei,22.22222222222222,Human
ripienaar,21.82741116751269,Human
danwalmsley,12.5,Human
feross,20.689655172413794,Human
messense,29.166666666666668,Human
LKI,0.0,Human
Samuell1,0.0,Human
jaibatrik,0.0,Human
bhauman,48.214285714285715,Human
riccardonar,0.0,Human
kasparsd,6.666666666666667,Human
frerich,0.0,Human
Cascades,0.0,Human
floehopper,5.063291139240507,Human
autarch,0.0,Human
vmchukky,0.0,Human
chelm,0.0,Human
BenoitZugmeyer,0.0,Human
ttacon,0.0,Human
j-f1,0.0,Human
corbinu,0.0,Human
JayVora-SerpentCS,0.0,Human
tiliev,0.0,Human
GuilhemN,0.0,Human
dr-dimitru,8.333333333333332,Human
beanieboi,0.0,Human
gregsdennis,0.0,Human
davesmith00000,41.02564102564102,Human
wolfy-j,5.128205128205128,Human
poy,0.0,Human
mweststrate,33.33333333333333,Human
jjd314,0.0,Human
vberger,0.0,Human
boopathi,0.0,Human
cekk,16.666666666666664,Human
daffidwilde,12.5,Human
lafita,0.0,Human
YannickJadoul,0.0,Human
Jason3S,10.0,Human
Mahsaap,0.0,Human
janeeisenstein,0.0,Human
Sacharified,0.0,Human
jhkennedy,0.0,Human
insomniacslk,13.793103448275861,Human
ericsoderberghp,33.33333333333333,Human
tonivade,32.432432432432435,Human
cpcloud,0.0,Human
wesm,0.0,Human
alixdamman,40.55555555555556,Human
chinedufn,0.0,Human
alisonjoseph,0.0,Human
BoldMonday,0.0,Human
seejamescode,28.57142857142857,Human
StevenMaude,33.33333333333333,Human
kb2623,0.0,Human
guewen,0.0,Human
sbidoul,0.0,Human
lmignon,0.0,Human
stalniy,18.64406779661017,Human
basvanbeek,0.0,Human
laurentlb,0.0,Human
alandonovan,0.0,Human
jgrund,0.0,Human
larsonjj,0.0,Human
chazeon,0.0,Human
omangin,19.51219512195122,Human
iocanel,14.634146341463413,Human
idubnori,0.0,Human
narr,0.0,Human
ppetrosh,0.0,Human
mjs,0.0,Human
abetomo,0.0,Human
slimslenderslacks,33.33333333333333,Human
jdsutherland,0.0,Human
imedina,0.0,Human
shepmaster,0.0,Human
carllerche,40.54054054054054,Human
stepancheg,8.571428571428571,Human
DiegoRBaquero,5.263157894736842,Human
GlenDC,11.870503597122301,Human
udl,0.0,Human
stephendonner,0.0,Human
Helow19274,0.0,Human
python273,0.0,Human
nange,11.76470588235294,Human
danez,0.0,Human
henrylee2cn,100.0,Human
diasbruno,0.0,Human
RichardKnop,0.0,Human
davehunt,0.0,Human
JustBlackBird,0.0,Human
tkruse,0.0,Human
mmerickel,0.0,Human
swlkr,52.38095238095239,Human
alexpan0610,0.0,Human
dormando,0.0,Human
shawnbot,0.0,Human
dlipovetsky,11.11111111111111,Human
lamhieu-vk,0.0,Human
ericodell,0.0,Human
ashleygould,2.0408163265306123,Human
andrehp,0.0,Human
joshuaskelly,0.0,Human
Chiiruno,2.5210084033613445,Human
bakape,31.320224719101127,Human
stevepiercy,0.0,Human
mirko-pagliai,0.0,Human
maxiwoj,0.0,Human
SylwiaGargula,0.0,Human
tisba,0.0,Human
Julien-Molina,75.0,Human
ben181231,14.285714285714285,Human
LinusU,0.0,Human
mindthegab,0.0,Human
jasonz1987,0.0,Human
36degrees,0.0,Human
DmitryBaranovskiy,28.57142857142857,Human
Senyoret1,33.33333333333333,Human
gz-c,0.0,Human
bitprophet,0.6451612903225806,Human
FlyingBird95,0.0,Human
smoench,10.0,Human
Mulugruntz,33.33333333333333,Human
scottinet,0.0,Human
cryptobioz,71.42857142857143,Human
displague,5.263157894736842,Human
kevinadi,0.0,Human
rpl,0.0,Human
whiskeysierra,70.0,Human
JeroenDeDauw,4.705882352941177,Human
mwjames,0.0,Human
gambol99,14.285714285714285,Human
calum-chamberlain,0.0,Human
adkerr,0.0,Human
leejarvis,0.0,Human
shin-,0.0,Human
brockpetrie,0.0,Human
brarcher,0.0,Human
cosven,1.3157894736842104,Human
mpsido,12.5,Human
hanwen,0.0,Human
mminns,0.0,Human
NOtherDev,0.0,Human
epels,0.0,Human
matkoch,18.666666666666668,Human
temsa,0.0,Human
timglabisch,0.0,Human
theofidry,0.0,Human
duergner,0.0,Human
danpersa,0.0,Human
gdementen,10.941475826972011,Human
dokato,0.0,Human
mmoreram,0.0,Human
palashmon,0.0,Human
martin31821,0.0,Human
seven1986,100.0,Human
thomas-crane,0.0,Human
mfherbst,0.0,Human
dmitrizzle,5.128205128205128,Human
tadashi-aikawa,16.666666666666664,Human
glennsl,0.0,Human
shahidhk,40.0,Human
abz53378,20.454545454545457,Human
sonofmun,0.0,Human
PonteIneptique,29.411764705882355,Human
jone,0.0,Human
jayands,0.0,Human
themasch,0.0,Human
nomiddlename,5.555555555555555,Human
1991wangliang,28.57142857142857,Human
CarstenHollmann,2.7777777777777777,Human
davidgoli,0.0,Human
arolson101,0.0,Human
9seconds,6.25,Human
anthonychu,0.0,Human
dannyvankooten,20.588235294117645,Human
phax,0.0,Human
archerzz,15.0,Human
themyth92,0.0,Human
sdboyer,0.0,Human
theckman,0.0,Human
kevinburke,0.0,Human
codingjoe,0.0,Human
leo,54.54545454545454,Human
zibs,0.0,Human
alexfernandez,0.0,Human
aichholzer,0.0,Human
chamerling,0.0,Human
javabrett,0.0,Human
probablyup,0.0,Human
YOUR-WORST-TACO,0.0,Human
deviantfero,33.33333333333333,Human
leemannd,0.0,Human
AlCalzone,4.545454545454546,Human
mariomka,0.0,Human
lukasgraf,0.0,Human
mar10,12.76595744680851,Human
julianschiavo,0.0,Human
jcampbell05,0.0,Human
AvdLee,0.0,Human
Boris-Em,26.666666666666668,Human
martinpaljak,50.0,Human
moh-moola,100.0,Human
itkovian,0.0,Human
StefH,35.13513513513514,Human
adamwaite,25.0,Human
serathius,0.0,Human
akosyakov,0.0,Human
svenefftinge,50.0,Human
