Compte,lev,Type
hadjipantelis,100.0,Human
topepo,31.0,Human
slr71,26.0,Human
dgassaway,10.0,Human
mcdonc,26.0,Human
bertjwregeer,30.0,Human
prescottprue,34.0,Human
hnovikov,28.0,Human
Christina-Kang,20.0,Human
samedder,6.0,Human
akshayjshah,21.0,Human
buschtoens,100.0,Human
dfreeman,100.0,Human
papandreou,13.0,Human
sumitkdey,96.0,Human
mschuchard,100.0,Human
JamesHenry,100.0,Human
jpcarzolio,100.0,Human
tnrich,100.0,Human
krystophv,64.0,Human
waigani,36.0,Human
emersonwood,100.0,Human
colin-marshall,31.0,Human
jayair,100.0,Human
fetrarij,7.0,Human
tiggerntatie,100.0,Human
nazrhom,19.0,Human
fzerorubigd,16.0,Human
SirePi,100.0,Human
ilexp,1.0,Human
jamienoss,96.0,Human
pllim,19.0,Human
JoshKarpel,12.0,Human
comtihon,15.0,Human
Tanner-MS,41.0,Human
wcjordan,18.0,Human
wernerglinka,100.0,Human
feltech,38.5,Human
ZNick1982,100.0,Human
frankus,17.0,Human
Scrum,53.0,Human
joelmartinez,100.0,Human
nelio2k,100.0,Human
heynext,100.0,Human
norkans7,100.0,Human
sharafian,100.0,Human
jmmv,33.0,Human
diogonicoleti,100.0,Human
Mogball,24.5,Human
kytrinyx,14.0,Human
pstehlik,6.0,Human
iamcal,100.0,Human
ARolek,15.0,Human
mrmrs,100.0,Human
heyzooi,27.0,Human
Widdershin,100.0,Human
staltz,100.0,Human
sameb,18.0,Human
jamiealquiza,100.0,Human
grofit,16.0,Human
OndraM,100.0,Human
jridgewell,21.5,Human
jkasten2,25.0,Human
djhouseknecht,12.0,Human
gliptak,25.0,Human
WSmonkey,35.0,Human
jessepeterson,2.0,Human
istarkov,100.0,Human
ludwigschubert,21.0,Human
Ntonio36,100.0,Human
maxbrunsfeld,100.0,Human
Nightsd01,32.0,Human
anishkny,100.0,Human
vitorbal,23.0,Human
asyncanup,14.0,Human
jpeach,20.0,Human
zalmoxisus,37.0,Human
rnojiri,33.0,Human
ajoymajumdar,28.0,Human
qoomon,100.0,Human
michelvocks,2.0,Human
Skarlso,2.0,Human
abhinav,8.0,Human
johnstill,36.5,Human
zachferland,100.0,Human
ryan-rs,23.0,Human
kerrykimbrough,100.0,Human
annstriganova,100.0,Human
sseide,26.0,Human
mitsuhiko,100.0,Human
rmfitzpatrick,80.0,Human
jrburke,100.0,Human
Nihlus,41.0,Human
luchotc,100.0,Human
rodri042,100.0,Human
flbulgarelli,100.0,Human
hanabi1224,100.0,Human
vkcn,14.0,Human
snakefoot,6.0,Human
JDetmar,58.0,Human
wilzbach,11.0,Human
Hackerpilot,100.0,Human
FireController1847,24.0,Human
fent,100.0,Human
wieslawsoltes,100.0,Human
cugini-dbx,100.0,Human
schlessera,100.0,Human
dabernathy89,100.0,Human
jasonyin,14.0,Human
lukasz-pyrzyk,100.0,Human
