Temps réponse,Compte
13501.0,mysql-oca-bot
12757.0,mysql-oca-bot
16981.0,mysql-oca-bot
1903023.0,mysql-oca-bot
82678.0,mysql-oca-bot
11245.0,mysql-oca-bot
20603.0,mysql-oca-bot
397449.0,mysql-oca-bot
27593.0,mysql-oca-bot
6784.0,mysql-oca-bot
1067.0,mysql-oca-bot
30496.0,mysql-oca-bot
2572.0,mysql-oca-bot
30439.0,mysql-oca-bot
2573.0,mysql-oca-bot
30408.0,mysql-oca-bot
2574.0,mysql-oca-bot
25737.0,mysql-oca-bot
2575.0,mysql-oca-bot
19331.0,mysql-oca-bot
16813.0,mysql-oca-bot
11389.0,mysql-oca-bot
78811.0,mysql-oca-bot
4101.0,mysql-oca-bot
5072.0,mysql-oca-bot
81271.0,mysql-oca-bot
127268.0,mysql-oca-bot
7899.0,mysql-oca-bot
9368.0,mysql-oca-bot
92738.0,mysql-oca-bot
57318.0,mysql-oca-bot
249223.0,mysql-oca-bot
3694.0,mysql-oca-bot
79192.0,mysql-oca-bot
361.0,mysql-oca-bot
16395.0,mysql-oca-bot
9913.0,mysql-oca-bot
238.0,mysql-oca-bot
30945.0,mysql-oca-bot
2623598.0,mysql-oca-bot
41911.0,mysql-oca-bot
82704.0,mysql-oca-bot
65154.0,mysql-oca-bot
16230.0,mysql-oca-bot
1053.0,mysql-oca-bot
15926.0,mysql-oca-bot
259779.0,mysql-oca-bot
11508.0,mysql-oca-bot
252475.0,mysql-oca-bot
79613.0,mysql-oca-bot
80526.0,mysql-oca-bot
262003.0,mysql-oca-bot
10911.0,mysql-oca-bot
1296034.0,mysql-oca-bot
2561283.0,mysql-oca-bot
32417.0,mysql-oca-bot
7869.0,mysql-oca-bot
95174.0,mysql-oca-bot
47956.0,mysql-oca-bot
48220.0,mysql-oca-bot
595153.0,mysql-oca-bot
16472.0,mysql-oca-bot
1463.0,mysql-oca-bot
115103.0,mysql-oca-bot
1060.0,mysql-oca-bot
86421.0,mysql-oca-bot
5741.0,mysql-oca-bot
73941.0,mysql-oca-bot
2325.0,mysql-oca-bot
401516.0,mysql-oca-bot
45171.0,mysql-oca-bot
8569.0,mysql-oca-bot
355692.0,mysql-oca-bot
45151.0,mysql-oca-bot
8192.0,mysql-oca-bot
2678405.0,mysql-oca-bot
7802.0,mysql-oca-bot
2678407.0,mysql-oca-bot
7757.0,mysql-oca-bot
2678408.0,mysql-oca-bot
30125.0,mysql-oca-bot
13182.0,mysql-oca-bot
1500.0,mysql-oca-bot
11338.0,mysql-oca-bot
1521.0,mysql-oca-bot
8801.0,mysql-oca-bot
1548.0,mysql-oca-bot
10070.0,mysql-oca-bot
2649577.0,mysql-oca-bot
12127.0,mysql-oca-bot
2667599.0,mysql-oca-bot
3660.0,mysql-oca-bot
1635494.0,mysql-oca-bot
97157.0,mysql-oca-bot
10837.0,mysql-oca-bot
2635129.0,mysql-oca-bot
4094.0,mysql-oca-bot
2635183.0,mysql-oca-bot
521.0,mysql-oca-bot
2606405.0,mysql-oca-bot
2168.0,mysql-oca-bot
13985.0,mysql-oca-bot
197580.0,mysql-oca-bot
12717.0,mysql-oca-bot
121464.0,mysql-oca-bot
579125.0,mysql-oca-bot
1005182.0,mysql-oca-bot
78964.0,mysql-oca-bot
1800.0,mysql-oca-bot
2617200.0,mysql-oca-bot
1764.0,mysql-oca-bot
2617202.0,mysql-oca-bot
11032.0,mysql-oca-bot
40558.0,mysql-oca-bot
773.0,mysql-oca-bot
25878.0,mysql-oca-bot
10391.0,mysql-oca-bot
2645984.0,mysql-oca-bot
10787.0,mysql-oca-bot
2635162.0,mysql-oca-bot
14056.0,mysql-oca-bot
10937.0,mysql-oca-bot
23369.0,mysql-oca-bot
13324.0,mysql-oca-bot
2433606.0,mysql-oca-bot
129035.0,mysql-oca-bot
2286.0,mysql-oca-bot
754954.0,mysql-oca-bot
4063.0,mysql-oca-bot
691242.0,mysql-oca-bot
41325.0,mysql-oca-bot
29508.0,mysql-oca-bot
